asset,type,location,W4_terrain_risk,W7_centrality_rank,lake_hit,landslide_hit,debris_hit,notes
光復鄉公所,shelter,"(339211, 2618514)",high,N/A,N,Y,N,W3 Hualien City shelter
太巴塱國小,shelter,"(341760, 2617456)",high,N/A,N,Y,N,W3 Hualien City shelter
光復自強外役監獄,shelter,"(338022, 2610619)",high,N/A,N,Y,N,W3 Hualien City shelter
光復國中,shelter,"(339366, 2618634)",high,N/A,N,Y,N,W3 Hualien City shelter
馬太鞍社區活動中心,shelter,"(337051, 2621484)",high,N/A,N,Y,N,W3 Hualien City shelter
大同活動中心,shelter,"(339989, 2617829)",high,N/A,N,Y,N,W3 Hualien City shelter
富民社區活動中心,shelter,"(334114, 2608038)",low,N/A,N,Y,N,W3 Hualien City shelter
大富國小,shelter,"(335829, 2611674)",low,N/A,N,Y,N,W3 Hualien City shelter
砂荖活動中心,shelter,"(342024, 2615437)",very_high,N/A,N,Y,N,W3 Hualien City shelter
大興活動中心,shelter,"(336199, 2614604)",very_high,N/A,N,Y,N,W3 Hualien City shelter
Foxu_Debris_Zone,guangfu_node,"(339480, 2617913)",N/A,N/A,N,Y,N,W8 Guangfu overlay
Guangfu_Station,guangfu_node,"(339235, 2618790)",N/A,N/A,N,Y,N,W8 Guangfu overlay
Guangfu_Elementary,guangfu_node,"(339282, 2618446)",N/A,N/A,N,Y,N,W8 Guangfu overlay
鳳義社區活動中心,shelter,"(340940, 2627321)",high,N/A,N,Y,N,W3 Hualien City shelter
鳳信社區活動中心,shelter,"(341334, 2625169)",low,N/A,N,Y,N,W3 Hualien City shelter
萬榮鄉立幼兒園,shelter,"(338395, 2622993)",high,N/A,N,Y,N,W3 Hualien City shelter
Guangfu_Township_Office,guangfu_node,"(338975, 2618405)",N/A,N/A,N,Y,N,W8 Guangfu overlay
長良社區活動中心,shelter,"(324873, 2575196)",very_high,N/A,N,N,N,W3 Hualien City shelter
萬寧社區活動中心,shelter,"(325903, 2572327)",low,N/A,N,N,N,W3 Hualien City shelter
新興竹田聯合社區活動中心,shelter,"(325022, 2569579)",low,N/A,N,N,N,W3 Hualien City shelter
