測站名稱,縣市,AQI,等級,緯度,經度,距離台北車站(km)
基隆,基隆市,35,良好,25.129167,121.760056,26.1
汐止,新北市,31,良好,25.06624,121.64081,12.64
新店,新北市,35,良好,24.977222,121.537778,8.12
土城,新北市,36,良好,24.982528,121.451861,9.79
板橋,新北市,31,良好,25.012972,121.458667,7.04
新莊,新北市,35,良好,25.037972,121.4325,8.58
菜寮,新北市,32,良好,25.06895,121.481028,4.32
林口,新北市,35,良好,25.07798949,121.36548982,15.63
淡水,新北市,37,良好,25.1645,121.449239,14.66
士林,臺北市,35,良好,25.10334003,121.51666356,6.18
中山,臺北市,28,良好,25.062361,121.526528,1.88
萬華,臺北市,28,良好,25.046503,121.507972,0.92
古亭,臺北市,32,良好,25.020608,121.529556,3.28
松山,臺北市,30,良好,25.05,121.578611,6.21
大同,臺北市,52,普通,25.06331455,121.51342074,1.76
桃園,桃園市,37,良好,24.9947107,121.30500531,22.16
大園,桃園市,33,良好,25.06100357,121.20251473,31.71
觀音,桃園市,33,良好,25.03556747,121.08283092,43.76
平鎮,桃園市,32,良好,24.952786,121.203986,33.27
龍潭,桃園市,33,良好,24.86400048,121.21645772,36.55
湖口,新竹縣,31,良好,24.90009696,121.03886894,50.92
竹東,新竹縣,24,良好,24.74091408,121.08895493,55.03
新竹,新竹市,27,良好,24.8056356,120.97236752,61.17
頭份,苗栗縣,37,良好,24.69690679,120.89869286,73.57
苗栗,苗栗縣,44,良好,24.56499183,120.82011468,88.49
三義,苗栗縣,41,良好,24.38248443,120.75956754,106.43
豐原,臺中市,44,良好,24.25699731,120.74252414,117.72
沙鹿,臺中市,53,普通,24.225628,120.568794,132.45
大里,臺中市,58,普通,24.09961111,120.67844444,135.3
忠明,臺中市,35,良好,24.151958,120.641092,133.28
西屯,臺中市,41,良好,24.162197,120.616917,134.08
彰化,彰化縣,52,普通,24.066,120.541519,147.14
線西,彰化縣,63,普通,24.131672,120.469061,146.98
二林,彰化縣,66,普通,23.925175,120.409653,167.75
南投,南投縣,51,普通,23.913,120.685306,151.68
斗六,雲林縣,72,普通,23.711853,120.544994,178.21
崙背,雲林縣,62,普通,23.757547,120.348742,185.95
新港,嘉義縣,60,普通,23.554839,120.345531,204.09
朴子,嘉義縣,43,良好,23.46538,120.2478,217.98
臺西,雲林縣,41,良好,23.702175,120.19933333,200.49
嘉義,嘉義市,62,普通,23.46477865,120.44125148,207.07
新營,臺南市,56,普通,23.305633,120.31725,228.77
善化,臺南市,59,普通,23.11337642,120.29740529,248.18
安南,臺南市,54,普通,23.048197,120.2175,258.55
臺南,臺南市,51,普通,22.98928311,120.21947897,264.12
美濃,高雄市,43,良好,22.883583,120.530542,260.69
橋頭,高雄市,53,普通,22.757506,120.305689,282.87
仁武,高雄市,51,普通,22.689056,120.332631,288.6
鳳山,高雄市,32,良好,22.628126,120.357422,293.76
大寮,高雄市,52,普通,22.56413611,120.425311,297.66
林園,高雄市,50,良好,22.4795,120.41175,306.93
楠梓,高雄市,50,良好,22.733667,120.328289,284.28
左營,高雄市,44,良好,22.674861,120.292917,291.74
前金,高雄市,35,良好,22.63390278,120.28676111,296.14
前鎮,高雄市,31,良好,22.6044507,120.30833356,298.2
小港,高雄市,53,普通,22.565833,120.337736,300.92
屏東,屏東縣,58,普通,22.673081,120.488033,284.03
潮州,屏東縣,54,普通,22.523108,120.561175,297.1
恆春,屏東縣,39,良好,21.958069,120.788928,351.49
臺東,臺東縣,32,良好,22.755358,121.15045,257.62
花蓮,花蓮縣,29,良好,23.971306,121.599769,119.99
陽明,臺北市,38,良好,25.182722,121.529583,15.06
宜蘭,宜蘭縣,37,良好,24.747917,121.746394,40.59
冬山,宜蘭縣,35,良好,24.632203,121.792928,53.95
三重,新北市,51,普通,25.072611,121.493806,3.62
中壢,桃園市,50,良好,24.953278,121.221667,31.56
竹山,南投縣,53,普通,23.756389,120.677306,166.88
永和,新北市,31,良好,25.017,121.516306,3.43
復興,高雄市,46,良好,22.608711,120.312017,297.62
埔里,南投縣,25,良好,23.968842,120.967903,132.21
馬祖,連江縣,29,良好,26.153736,119.952724,199.32
金門,金門縣,40,良好,24.432133,118.312256,330.8
馬公,澎湖縣,42,良好,23.569031,119.566158,257.13
關山,臺東縣,31,良好,23.045083,121.161933,225.59
麥寮,雲林縣,62,普通,23.753506,120.251825,192.68
富貴角,新北市,41,良好,25.29681695,121.53656894,27.76
大城,彰化縣,53,普通,23.85493056,120.26964167,183.12
臺灣大道,臺中市,47,良好,24.1589,120.6567111,131.66
員林,彰化縣,58,普通,23.9615945,120.5631893,154.6
林森,臺南市,59,普通,22.98522502,120.22216042,264.37
南投（鹿谷）,南投縣,32,良好,23.71867609,120.7944772,164.91
屏東（琉球）,屏東縣,31,良好,22.35222,120.37722,321.41
新北（樹林）,新北市,40,良好,24.94902778,121.38352778,17.37
屏東（枋山）,屏東縣,38,良好,22.260899,120.651472,322.18
