Asset,Type,Location,W4_Terrain_Risk,W7_Centrality_Rank,Barrier_Lake_Hit,Landslide_Hit,Debris_Flow_Hit,Notes
54,W3 Shelter,288226.70197363914,low,-,N,Y,N,Hualien City area
55,W3 Shelter,287006.4934511435,high,-,N,Y,N,Hualien City area
56,W3 Shelter,286943.3089360346,high,-,N,Y,N,Hualien City area
60,W3 Shelter,292097.9957521698,high,-,N,Y,N,Hualien City area
63,W3 Shelter,289890.75414091244,low,-,N,Y,N,Hualien City area
64,W3 Shelter,290628.0067362946,high,-,N,Y,N,Hualien City area
65,W3 Shelter,290219.4275554622,high,-,N,Y,N,Hualien City area
67,W3 Shelter,293820.2604819259,low,-,N,Y,N,Hualien City area
68,W3 Shelter,296032.2666470357,high,-,N,Y,N,Hualien City area
70,W3 Shelter,292682.5985145302,high,-,N,Y,N,Hualien City area
71,W3 Shelter,295842.8751664441,high,-,N,Y,N,Hualien City area
72,W3 Shelter,295740.27340131765,high,-,N,Y,N,Hualien City area
73,W3 Shelter,293964.2454034604,high,-,N,Y,N,Hualien City area
74,W3 Shelter,293176.7920189968,high,-,N,Y,N,Hualien City area
75,W3 Shelter,293329.4320030704,high,-,N,Y,N,Hualien City area
77,W3 Shelter,290975.45916458644,high,-,N,Y,N,Hualien City area
78,W3 Shelter,292051.07712175034,high,-,N,Y,N,Hualien City area
80,W3 Shelter,292776.0564655077,low,-,N,Y,N,Hualien City area
81,W3 Shelter,292297.59022954106,high,-,N,Y,N,Hualien City area
82,W3 Shelter,291817.9769208755,high,-,N,Y,N,Hualien City area
84,W3 Shelter,295206.2560913146,low,-,N,Y,N,Hualien City area
85,W3 Shelter,295808.6581659951,low,-,N,Y,N,Hualien City area
88,W3 Shelter,296057.405814852,low,-,N,Y,N,Hualien City area
90,W3 Shelter,294781.6087536604,high,-,N,Y,N,Hualien City area
92,W3 Shelter,296055.1198463242,low,-,N,Y,N,Hualien City area
93,W3 Shelter,297665.34732841694,low,-,N,Y,N,Hualien City area
94,W3 Shelter,297665.34732841694,low,-,N,Y,N,Hualien City area
Guangfu_Station,W8 Guangfu Overlay,光復火車站,-,-,N,Y,N,Guangfu township
Guangfu_Elementary,W8 Guangfu Overlay,光復國小,-,-,N,Y,N,Guangfu township
Guangfu_Township_Office,W8 Guangfu Overlay,光復鄉公所,-,-,N,Y,N,Guangfu township
Foxu_Debris_Zone,W8 Guangfu Overlay,佛祖街沉積區中心,-,-,N,Y,N,Guangfu township
0,W3 Shelter,326011.1106517919,high,-,N,N,N,Hualien City area
1,W3 Shelter,277505.77888307045,high,-,N,N,N,Hualien City area
2,W3 Shelter,274563.44670147065,high,-,N,N,N,Hualien City area
3,W3 Shelter,276261.14500782464,high,-,N,N,N,Hualien City area
4,W3 Shelter,275351.8038632076,high,-,N,N,N,Hualien City area
5,W3 Shelter,274150.7981701222,high,-,N,N,N,Hualien City area
6,W3 Shelter,275624.82774788066,high,-,N,N,N,Hualien City area
7,W3 Shelter,277055.4301602519,high,-,N,N,N,Hualien City area
8,W3 Shelter,275815.44751660543,high,-,N,N,N,Hualien City area
9,W3 Shelter,278414.9445840459,high,-,N,N,N,Hualien City area
10,W3 Shelter,277070.58563948737,high,-,N,N,N,Hualien City area
11,W3 Shelter,277111.3224926542,high,-,N,N,N,Hualien City area
12,W3 Shelter,279668.67093347164,low,-,N,N,N,Hualien City area
13,W3 Shelter,280512.44457449514,low,-,N,N,N,Hualien City area
14,W3 Shelter,281224.90691317216,low,-,N,N,N,Hualien City area
15,W3 Shelter,279442.6203889155,high,-,N,N,N,Hualien City area
16,W3 Shelter,277877.2401246508,high,-,N,N,N,Hualien City area
17,W3 Shelter,283012.5293120928,high,-,N,N,N,Hualien City area
18,W3 Shelter,277648.4368213559,high,-,N,N,N,Hualien City area
19,W3 Shelter,285283.41587970103,high,-,N,N,N,Hualien City area
20,W3 Shelter,280721.2810330754,high,-,N,N,N,Hualien City area
21,W3 Shelter,282100.5619875082,low,-,N,N,N,Hualien City area
22,W3 Shelter,282241.87368398387,low,-,N,N,N,Hualien City area
23,W3 Shelter,284756.47147926094,high,-,N,N,N,Hualien City area
24,W3 Shelter,281063.4589364424,high,-,N,N,N,Hualien City area
25,W3 Shelter,283621.172458223,high,-,N,N,N,Hualien City area
26,W3 Shelter,286520.330666637,high,-,N,N,N,Hualien City area
27,W3 Shelter,282756.2205599075,high,-,N,N,N,Hualien City area
28,W3 Shelter,282357.3567144898,high,-,N,N,N,Hualien City area
29,W3 Shelter,288186.80739425856,high,-,N,N,N,Hualien City area
30,W3 Shelter,285743.79407397145,high,-,N,N,N,Hualien City area
31,W3 Shelter,283923.84125764057,high,-,N,N,N,Hualien City area
