shelter_name,shelter_location,is_indoor,capacity,nearest_aqi_station,nearest_aqi_county,nearest_aqi,nearest_aqi_level,distance_to_station_m,risk_label,disaster_types,shelter_lat,shelter_lon
五峰活動中心,新竹縣,True,110,台中,台中市,45,良好,48387.32817485773,Safe,"水災,震災,土石流",24.386,121.073
金門縣烈嶼鄉林湖村辦公處,金門縣烈嶼鄉,True,30,嘉義,嘉義市,40,良好,247218.6040103987,Safe,"水災,震災,土石流,海嘯",24.428328,118.248571
南坑村集會所暨南外社區活動中心,新竹縣北埔鄉,True,20,新竹,新竹市,38,良好,18080.87243297003,Safe,"水災,震災,土石流",24.6725,121.0561
烏坵鄉小坵村活動中心,金門縣烏坵鄉,True,20,新竹,新竹市,38,良好,152165.24724724263,Safe,,24.98,119.47
金門縣烏坵鄉公所大廳,金門縣烏坵鄉,True,30,新竹,新竹市,38,良好,153963.86128820488,Safe,,24.988739,119.453178
霞雲社區活動中心,桃園市復興區,True,36,土城,新北市,36,良好,19294.20762621761,Safe,"水災,震災,土石流,海嘯",24.814018,121.406238
澤仁里辦公處,桃園市復興區,True,40,桃園,桃園市,42,良好,19652.721357312654,Safe,"水災,震災,土石流,海嘯",24.820601,121.351987
奎輝里活動中心,桃園市復興區,True,50,桃園,桃園市,42,良好,21970.119345401014,Safe,"水災,震災,土石流,海嘯",24.797047,121.334302
高義教會,桃園市復興區,True,61,桃園,桃園市,42,良好,32251.69748784792,Safe,"水災,震災,土石流,海嘯",24.706112,121.354462
東莒老人活動中心,連江縣莒光鄉,True,0,新竹,新竹市,38,良好,161387.5305265327,Safe,,25.956666,119.977206
福正風景管理處,連江縣莒光鄉,True,0,新竹,新竹市,38,良好,161338.69188125344,Safe,,25.961848,119.985351
莒光指揮部國軍文康中心,連江縣莒光鄉,True,0,新竹,新竹市,38,良好,166078.6619815072,Safe,,25.97828,119.932125
田沃老人活動中心,連江縣莒光鄉,True,0,新竹,新竹市,38,良好,164769.90908142237,Safe,,25.972438,119.944922
青帆老人活動中心,連江縣莒光鄉,True,150,新竹,新竹市,38,良好,165263.4675845685,Safe,,25.969995,119.933712
敬恆國中小禮堂,連江縣莒光鄉,True,200,新竹,新竹市,38,良好,165320.5245165842,Safe,,25.970819,119.933934
東莒國小綜合教室,連江縣莒光鄉,True,200,新竹,新竹市,38,良好,161464.89448118812,Safe,,25.957484,119.97711
石牌社區活動中心,桃園市新屋區,True,50,林口,新北市,28,良好,107022.4276509702,Safe,"水災,震災",26.0,121.051297
上大社區活動中心,桃園市觀音區,True,0,桃園,桃園市,42,良好,16694.264158732516,Safe,,24.978234,121.147333
武威社區活動中心,桃園市觀音區,True,0,桃園,桃園市,42,良好,24368.03300367476,Safe,,25.028242,121.073317
塔腳社區活動中心,桃園市觀音區,True,0,林口,新北市,28,良好,16405.07872416927,Safe,,25.049298,121.154708
廣福社區活動中心,桃園市觀音區,True,0,桃園,桃園市,42,良好,16241.977963624659,Safe,,25.019018,121.153383
草漯國民小學,桃園市觀音區,True,100,林口,新北市,28,良好,17629.49842956697,Safe,,25.045941,121.142939
上大國民小學,桃園市觀音區,True,100,桃園,桃園市,42,良好,16742.29694805753,Safe,,24.979129,121.146755
崙坪國民小學,桃園市觀音區,True,100,桃園,桃園市,42,良好,15073.645087228786,Safe,,24.999596,121.162676
富林國民小學,桃園市觀音區,True,100,林口,新北市,28,良好,18925.77251704345,Safe,,25.062195,121.1285
樹林國民小學,桃園市觀音區,True,100,林口,新北市,28,良好,18929.063886923188,Safe,,25.062176,121.128468
觀音區公所綠資源中心,桃園市觀音區,True,0,桃園,桃園市,42,良好,23346.450764228885,Safe,,25.028281,121.083597
空軍第737戰術戰鬥機聯隊,臺東縣臺東市,True,329,林口,新北市,28,良好,265678.635879643,Safe,,27.0,119.752122
高雄市前鎮區光華國民小學,高雄市前鎮區,True,300,高雄,高雄市,150,對敏感族群不健康,1774.1522960549034,High Risk,"水災,震災,土石流,海嘯",22.615,120.32
大武國小,臺東縣大武鄉,True,350,高雄,高雄市,150,對敏感族群不健康,67381.74855999814,High Risk,"水災,震災,土石流,海嘯",22.365009,120.905497
尖山國小操場,苗栗縣頭份市,True,200,新竹,新竹市,38,良好,19990.335056201246,Safe,"水災,震災,土石流,海嘯",24.64686,120.894048
高雄市小港區鳳林國民小學,高雄市小港區,True,300,高雄,高雄市,150,對敏感族群不健康,11840.246077178319,High Risk,"水災,震災,土石流,海嘯",22.527,120.343
後庄社區活動中心,桃園市新屋區,True,50,林口,新北市,28,良好,202810.0685155874,Safe,"水災,震災",26.870923,121.011554
望間社區活動中心,桃園市新屋區,True,50,林口,新北市,28,良好,202793.3958554356,Safe,"水災,震災",26.87753,121.065984
社子社區活動中心,桃園市新屋區,True,50,林口,新北市,28,良好,203506.91410601893,Safe,水災,26.886062,121.085281
頭洲社區活動中心,桃園市新屋區,True,50,林口,新北市,28,良好,203324.57995365892,Safe,"水災,震災",26.888575,121.130215
深圳社區活動中心,桃園市新屋區,True,50,林口,新北市,28,良好,205061.77583639752,Safe,"水災,震災",26.890879,121.007673
東明社區活動中心,桃園市新屋區,True,50,林口,新北市,28,良好,204540.34462959267,Safe,"水災,震災",26.894742,121.078766
九斗社區活動中心,桃園市新屋區,True,50,林口,新北市,28,良好,204353.39476350625,Safe,"水災,震災",26.896771,121.117328
?榔社區活動中心,桃園市新屋區,True,50,林口,新北市,28,良好,205175.99823077928,Safe,"水災,震災",26.898658,121.06181
下田社區活動中心,桃園市新屋區,True,50,林口,新北市,28,良好,206403.8319311924,Safe,"水災,震災",26.908939,121.054326
永安社區活動中心,桃園市新屋區,True,50,林口,新北市,28,良好,207517.60546761943,Safe,"水災,震災",26.915734,121.02689
石磊社區活動中心,桃園市新屋區,True,50,林口,新北市,28,良好,207518.00641505237,Safe,"水災,震災",26.921813,121.079829
永興社區活動中心,桃園市新屋區,True,50,林口,新北市,28,良好,208635.987006762,Safe,"水災,震災",26.92647,121.031521
大武社區活動中心,屏東縣霧臺鄉,True,30,高雄,高雄市,150,對敏感族群不健康,47187.004251352744,High Risk,"水災,土石流",22.757534,120.754782
和平國小,花蓮縣秀林鄉,True,250,新店,新北市,35,良好,77404.43151583248,Safe,"水災,土石流",24.308073,121.748879
佳義社區活動中心,屏東縣瑪家鄉,True,0,高雄,高雄市,150,對敏感族群不健康,32424.981505569205,High Risk,"水災,土石流",22.653475,120.630874
中東社區活動中心,彰化縣員林市,True,30,台中,台中市,45,良好,20989.531309621365,Safe,"水災,土石流,海嘯",23.971414,120.599689
崇實高工體育館,彰化縣員林市,True,80,台中,台中市,45,良好,23049.117555992863,Safe,"水災,震災,土石流,海嘯",23.961057,120.574848
東芳國小,彰化縣彰化市,True,145,台中,台中市,45,良好,18558.85100943051,Safe,"水災,震災,土石流,海嘯",24.062538,120.516345
三義社區活動中心,彰化縣員林市,True,200,台中,台中市,45,良好,24396.0260565068,Safe,"水災,土石流,海嘯",23.95268,120.563531
大同國中,彰化縣員林市,True,200,台中,台中市,45,良好,22629.921850016974,Safe,"水災,震災,土石流,海嘯",23.963213,120.579502
員林農工體育館,彰化縣員林市,True,200,台中,台中市,45,良好,23352.32285602939,Safe,"水災,震災,土石流,海嘯",23.955187,120.581692
員林市員東國小,彰化縣員林市,True,200,台中,台中市,45,良好,22443.319780451395,Safe,"水災,震災,土石流,海嘯",23.961879,120.587309
員林市員林國中活動中心,彰化縣員林市,True,200,台中,台中市,45,良好,22159.97786741101,Safe,"水災,震災,土石流,海嘯",23.979184,120.557085
